Team,Elo,Active,Form,AUC24,AUC25 Prediction
DUFF Stout,1341.489373,N,0.5,NaN,NaN
Ironbark B,1140.123147,EOL,0.2,,NaN
SWU Claw,933.4626814,N,0.2,NaN,NaN
Colony Rum Corps,1220.607667,EOL,0.5,NaN,NaN
Outbreak Panmountalypse,1215.460247,EOL,0.5,NaN,NaN
Roo Bois,1240.675625,EOL,1,NaN,NaN
Outbreak,1192.868721,EOL,0.2,NaN,NaN
Sydney Colony Y,1216.978484,EOL,0.5,NaN,NaN
Reverse Garbage,1084.318117,EOL,0.2,NaN,NaN
Sydney Colony X,1220.887548,EOL,0.6666666667,NaN,NaN
H-Beam,1249.354419,EOL,0.5,NaN,NaN
Bench X,1161.33272,EOL,0,NaN,NaN
Bench Y,1170.855623,EOL,0,NaN,NaN
Shiok,1235.252699,EOL,0.5,NaN,NaN
Colony Mutiny,1426.40387,EOL,0.6,NaN,NaN
DUFF,1228.507233,EOL,0.6,NaN,NaN
Ikigai Ultimate,1147.011937,EOL,0.4,NaN,NaN
Colony Uprising,1429.174668,EOL,0.9,NaN,NaN
Ellipsis Men,1703.399305,Y,0.9,1st,1st
Gold Coast Ultimate,1201.680648,N,0.5714285714,NaN,NaN
Dogma,1448.625362,EOL,0.2857142857,NaN,NaN
Sunder Dice,1569.085335,Y,0.4,7th,5th
Sunder Slice,1683.916673,Y,0.8,2nd,2nd
Kronk,973.6220585,N,0.2,NaN,NaN
Manly Mullets,1522.049255,Y,0.6,6th,6th
Kraken,1162.604678,N,0.4,NaN,NaN
Fyshwuck Unit,1191.630054,EOL,0.5,NaN,NaN
Tritons,1087.043226,EOL,0.2,NaN,NaN
Fyshwack Unit,1270.568815,EOL,0.6,NaN,NaN
_xX_DrAg0NSL4Y3Rs_Xx_,1136.444225,N,0.4,NaN,NaN
Albury Wodonga Ultimate,1020.418254,N,0.4,NaN,NaN
NSU Borealis,1450.929894,N,0.8,NaN,NaN
Manly Muckerels,1113.466487,EOL,0.25,NaN,NaN
Lé Sprucé Branché,1162.875444,EOL,0.375,NaN,NaN
Status Quo,1222.613782,EOL,0.6,NaN,NaN
Krank A,1172.068954,EOL,0,NaN,NaN
Krank 1,1186.996183,EOL,0.4444444444,NaN,NaN
Sunder Combined,1365.06119,EOL,0.6,NaN,NaN
Equinox,1336.159529,N,0.4,NaN,NaN
Manly Moes,1215.88885,N,0.8,NaN,NaN
Outclass,1098.193947,EOL,0,NaN,NaN
Outbroken,1179.781527,EOL,0.25,NaN,NaN
Trail Mix,1121.479649,N,0.3,NaN,NaN
Sublime Ultimate Club B,1185.713948,N,0.4,NaN,NaN
Brisbanites,1223.93028,N,0.5,NaN,NaN
Horizon Ultimate,1160.169156,N,0.4,NaN,NaN
Adelaide Outbreak,1203.929965,EOL,0.4,NaN,NaN
Chilly Cartel,1242.540485,N,0.5,NaN,NaN
Craigieburn Pelicans,1200.094783,N,0.3333333333,NaN,NaN
Chilly Mafia,1202.506349,N,0.3333333333,NaN,NaN
Hills Ironbark,1234.625421,N,0.7,NaN,NaN
Fyshwick Unit Y,1202.65653,N,0.6,NaN,NaN
Zephyr,1086.658093,N,0.4,NaN,NaN
Fyshwick Unit X,1298.930668,N,0.5,NaN,NaN
Cragieburn Pelicans,1175.921051,N,0.4,NaN,NaN
UR a frisbee harry,914.9489943,N,0,NaN,NaN
